13773		19
9085	%	49
764	0	666
5235	00	313
1018	000	387
18825	0001	2
12392	0002	2
19569	0003	3
19638	0004	2
12423	001	21
16433	0011	2
19203	0016	2
19739	001701	2
12785	002	7
6916	003	15
17121	004	2
17169	005	2
15297	0061	3
16430	0062	3
17044	0063	2
7107	009	3
7397	01	240
8872	010	7
12580	011	8
18907	0111	4
12391	012	11
7105	0120	24
19557	0120401	2
16838	013	2
7106	014	3
16839	015	2
14103	016	2
14892	017	3
16840	019	2
7756	02	148
16841	020	4
15261	022	4
8536	023	4
8537	024	3
8538	025	2
16868	028	4
12929	029	2
8009	03	228
6795	030	4
14068	032	2
16476	033	2
16870	035	2
8251	04	174
16873	040	15
12244	042	4
16876	043	2
14402	045	15
16053	046	2
16878	047	3
12594	048	6
8731	05	175
7683	050	26
16889	052	2
16891	055	3
16892	056	3
16331	057	3
13869	0570	8
13189	058	2
16330	059	2
8091	06	153
19723	060	3
12277	0600	2
14069	064	3
14897	068	2
8219	07	140
19614	070	2
18164	078	2
19598	079	2
855	08	116
11767	080	22
14000	0800	5
19639	081	2
13871	084	4
16776	086	3
8187	09	152
6571	090	4
18828	092	3
17114	0928	3
19724	095	2
19213	098	3
846	1	2115
2247	10	668
2090	100	182
51	1000	56
14749	10000	11
14948	1001	4
12513	1006	2
11830	101	42
11839	102	37
17398	1020	2
12056	1024	23
13104	103	23
9649	1030	2
12356	104	22
8844	105	16
12425	1050	2
16109	106	28
4299	107	32
15022	108	11
12060	1080	48
19990	1084	2
19900	1089	2
8840	109	13
4534	11	372
12953	110	25
7644	1100	3
18562	111	14
12376	112	13
20093	1122	2
12849	113	8
14987	114	6
14407	115	17
7097	116	8
13192	117	4
15477	118	4
12359	119	3
2244	12	249
5315	120	44
11815	1200	24
12699	121	15
11617	1210	13
19752	1211	3
18600	122	7
12848	123	8
13606	124	9
10007	125	10
14406	1250	6
14023	126	17
12345	127	7
11733	128	19
11650	1280	76
11932	12800	2
12154	1286	2
14679	129	13
4530	13	154
11206	130	38
13282	1300	14
11855	131	10
19804	1310	5
19746	1313	4
15003	132	13
19917	1320	3
20174	1325	2
13841	133	6
18542	134	3
13188	1344	3
16022	135	12
12851	1350	2
12329	136	11
12033	1366	8
13191	137	8
14704	1370	8
20078	138	3
18526	139	4
1520	14	139
4096	140	24
12593	1400	7
12823	141	3
16906	143	3
15458	1430	4
15027	144	12
12591	1440	6
6123	145	10
12520	1460	6
16002	147	3
16311	1475	2
5621	148	5
16744	1480	2
2450	15	205
6741	150	50
11229	1500	14
14298	15000	3
4215	151	5
20187	1512	2
15293	152	3
12621	1520	12
12062	1536	10
14762	155	5
19757	156	2
20138	157	2
13067	159	3
2852	16	185
11606	160	35
11580	1600	23
11890	1605	2
7852	1610	5
15452	162	2
11952	1630	3
